,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
0,3325406994.0,,-1.0,0.7,0.3,1378.0,-1.0,1.0,2.0,0.0,0.0,0.0,2.0,-1.0,-1.0,8.0,6.0,-1.0,0.0,-1.0,6.0,8.0,0.4,-0.4,-1.0,1.0,92570.0,0.0,0.0,
1,3325406994.0,,-1.0,0.7,0.3,1167.0,1.0,-1.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,8.0,6.0,1.0,0.0,-1.0,6.0,8.0,0.4,-0.4,-1.0,1.0,96462.0,0.0,0.0,
2,3325406994.0,,-1.0,0.7,0.3,890.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,-1.0,-1.0,6.0,8.0,-1.0,0.0,-1.0,6.0,8.0,0.4,-0.4,-1.0,0.0,100143.0,0.0,0.0,
3,3325406994.0,,-1.0,0.8,0.2,2029.0,-1.0,1.0,2.0,0.0,0.0,3.0,1.0,-1.0,-1.0,5.0,2.0,1.0,0.0,-1.0,5.0,2.0,0.6,-0.6,-1.0,0.0,103542.0,0.0,0.0,
4,3325406994.0,,-1.0,0.8,0.2,1318.0,1.0,-1.0,1.0,1.0,0.0,4.0,1.0,-1.0,-1.0,2.0,5.0,1.0,0.0,-1.0,5.0,2.0,0.6,-0.6,-1.0,1.0,108100.0,0.0,0.0,
5,3325406994.0,,-1.0,0.8,0.2,628.0,1.0,-1.0,1.0,1.0,0.0,5.0,1.0,-1.0,-1.0,2.0,5.0,1.0,0.0,-1.0,5.0,2.0,0.6,-0.6,-1.0,1.0,111932.0,0.0,0.0,
6,3325406994.0,,-1.0,0.6,0.4,1100.0,-1.0,1.0,2.0,0.0,0.0,6.0,3.0,-1.0,-1.0,4.0,7.0,1.0,0.0,-1.0,4.0,7.0,0.2,-0.2,-1.0,0.0,115080.0,0.0,0.0,
7,3325406994.0,,-1.0,0.6,0.4,783.0,-1.0,-1.0,1.0,1.0,0.0,7.0,3.0,-1.0,-1.0,7.0,4.0,1.0,0.0,-1.0,4.0,7.0,0.2,-0.2,-1.0,1.0,118699.0,0.0,0.0,
8,3558275959.0,,-1.0,0.9,0.1,3430.0,-1.0,-1.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,7.0,-1.0,0.0,-1.0,7.0,5.0,0.8,-0.8,-1.0,1.0,145166.0,0.0,0.0,
9,3325406994.0,,-1.0,0.6,0.4,522.0,1.0,-1.0,1.0,1.0,0.0,8.0,3.0,-1.0,-1.0,7.0,4.0,1.0,0.0,-1.0,4.0,7.0,0.2,-0.2,-1.0,1.0,121998.0,0.0,0.0,
10,3558275959.0,,-1.0,0.9,0.1,1319.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,5.0,7.0,1.0,0.0,-1.0,7.0,5.0,0.8,-0.8,-1.0,1.0,151125.0,0.0,0.0,
11,3325406994.0,,-1.0,0.9,0.1,1336.0,-1.0,1.0,2.0,0.0,0.0,9.0,0.0,-1.0,-1.0,3.0,1.0,-1.0,0.0,-1.0,1.0,3.0,0.8,-0.8,-1.0,1.0,125036.0,0.0,0.0,
12,3558275959.0,,-1.0,0.9,0.1,1144.0,1.0,-1.0,1.0,1.0,0.0,2.0,0.0,-1.0,-1.0,7.0,5.0,-1.0,0.0,-1.0,7.0,5.0,0.8,-0.8,-1.0,0.0,154956.0,0.0,0.0,
13,3325406994.0,,-1.0,0.9,0.1,864.0,1.0,-1.0,1.0,1.0,0.0,10.0,0.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,3.0,0.8,-0.8,-1.0,0.0,128878.0,0.0,0.0,
14,3325406994.0,,-1.0,0.9,0.1,938.0,1.0,-1.0,1.0,1.0,0.0,11.0,0.0,-1.0,-1.0,3.0,1.0,1.0,0.0,-1.0,1.0,3.0,0.8,-0.8,-1.0,1.0,132262.0,0.0,0.0,
15,3558275959.0,,-1.0,0.6,0.4,5727.0,1.0,-1.0,1.0,1.0,0.0,3.0,3.0,-1.0,-1.0,2.0,1.0,-1.0,0.0,-1.0,2.0,1.0,0.2,-0.2,-1.0,0.0,158621.0,0.0,0.0,
16,3558275959.0,,-1.0,0.6,0.4,813.0,-1.0,1.0,1.0,1.0,0.0,4.0,3.0,-1.0,-1.0,1.0,2.0,1.0,0.0,-1.0,2.0,1.0,0.2,-0.2,-1.0,1.0,166863.0,0.0,0.0,
