,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
0,0,0,0,1,56.0,0.769954,40,52,True,10
1,0,0,1,0,23.0,0.77721,40,52,True,10
2,0,0,2,1,55.0,0.673207,40,52,True,10
3,0,0,3,1,55.0,0.509383,40,52,True,10
4,0,0,4,0,26.0,1.519023,40,52,False,10
5,0,0,5,1,41.0,0.288232,40,52,False,10
6,0,0,6,1,49.0,0.528856,40,52,False,10
7,0,0,7,1,49.0,0.409231,40,52,False,10
8,0,0,8,1,71.0,0.398884,40,52,False,10
9,0,0,9,1,68.0,0.348956,40,52,False,10
10,0,1,0,0,38.0,0.8344,40,60,True,5
11,0,1,1,1,63.0,0.37608,40,60,True,5
12,0,1,2,1,53.0,0.407632,40,60,True,5
13,0,1,3,0,41.0,0.653575,40,60,True,5
14,0,1,4,1,66.0,2.12018,40,60,False,5
15,0,2,0,0,81.0,0.461673,80,60,True,5
16,0,2,1,0,82.0,0.391126,80,60,True,5
17,0,2,2,1,56.0,0.676736,80,60,True,5
18,0,2,3,0,71.0,0.351792,80,60,True,5
19,0,2,4,0,90.0,0.414789,80,60,False,5
20,0,3,0,0,64.0,0.646679,56,60,True,5
21,0,3,1,0,53.0,0.320421,56,60,True,5
22,0,3,2,1,60.0,0.416722,56,60,True,5
23,0,3,3,0,72.0,0.709904,56,60,True,5
24,0,3,4,0,53.0,3.848742,56,60,False,5
25,0,4,0,0,55.0,0.574209,60,40,True,10
26,0,4,1,1,39.0,0.331633,60,40,True,10
27,0,4,2,0,59.0,0.37243,60,40,True,10
28,0,4,3,1,43.0,0.42827,60,40,True,10
29,0,4,4,0,61.0,2.145948,60,40,False,10
30,0,4,5,0,50.0,1.040472,60,40,False,10
31,0,4,6,1,47.0,0.915347,60,40,False,10
32,0,4,7,0,72.0,0.261662,60,40,False,10
33,0,4,8,0,45.0,0.256477,60,40,False,10
34,0,4,9,0,58.0,0.250167,60,40,False,10
