GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1,B.2,B.3,B.4,B.5
1,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,0.669491525,0.5,0.447457627,0.454237288,0.462711864
2,87,0.2,-26,Symm,5,64,0.05,0,Symm,9,0,0,0.785,0.798333333,0.778333333,0.79,0.786666667
3,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,0.366956522,0.300869565,0.35826087,0.354782609,0.380869565
4,46,0.1,16,-,1,65,0.2,2,Symm,5,1,0,0.663247863,0.582905983,0.434188034,0.401709402,0.335042735
5,7,1,7,-,1,6,0.01,-4,Symm,5,0,0,0.030252101,0.011764706,0.008403361,0.003361345,0.003361345
6,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,0.901694915,0.942372881,0.952542373,0.969491525,0.966101695
7,16,1,16,-,1,33,0.5,14,-,1,0,0,0.910169492,0.925423729,0.898305085,0.894915254,0.9
8,3,0.8,-17,R-skew,2,6,0.6,-13,Symm,9,0,0,0.522033898,0.540677966,0.610169492,0.603389831,0.601694915
9,14,1,14,-,1,20,0.95,16,-,1,0,0,0.906896552,0.962068966,0.986206897,0.99137931,0.99137931
10,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,0.801724138,0.853448276,0.824137931,0.843103448,0.851724138
11,0,0.9,-4,R-skew,5,-2,0.99,-8,-,1,0,0,0.176470588,0.208403361,0.223529412,0.23697479,0.284033613
12,39,0.6,14,-,1,48,0.25,24,-,1,0,0,0.540677966,0.510169492,0.579661017,0.56440678,0.559322034
13,25,1,25,-,1,35,0.2,12,-,1,0,0,0.093220339,0.115254237,0.116949153,0.111864407,0.105084746
14,1,0.5,1,-,1,40,0.01,-4,-,1,0,0,0.107563025,0.11092437,0.124369748,0.11092437,0.105882353
15,35,0.75,-18,-,1,53,0.2,27,Symm,9,0,0,0.901694915,0.86779661,0.844067797,0.861016949,0.820338983
16,-6,1,-6,-,1,15,0.6,-10,-,1,0,0,0.907692308,0.931623932,0.892307692,0.904273504,0.926495726
17,13,1,13,-,1,12,0.8,8,-,1,0,0,0.054237288,0.022033898,0.005084746,0.005084746,0.005084746
18,29,1,29,-,1,31,0.8,10,Symm,3,0,0,0.245762712,0.371186441,0.410169492,0.377966102,0.355932203
19,58,0.1,0,-,1,26,0.2,8,R-skew,3,1,-1,0.876521739,0.909565217,0.902608696,0.869565217,0.871304348
20,30,0.99,28,R-skew,6,30,0.6,19,L-skew,6,0,0,0.07008547,0.063247863,0.109401709,0.109401709,0.097435897
21,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,0.579487179,0.557264957,0.528205128,0.41025641,0.382905983
22,21,1,21,-,1,26,0.8,-24,-,1,0,0,0.189655172,0.284482759,0.305172414,0.312068966,0.34137931
23,83,0.5,-33,Symm,7,25,1,25,-,1,0,0,0.613793103,0.496551724,0.487931034,0.525862069,0.501724138
24,74,0.6,-36,Symm,5,46,0.5,-11,Symm,3,0,0,0.499159664,0.371428571,0.354621849,0.32605042,0.297478992
25,-4,1,-4,-,1,-2,0.8,-25,Symm,9,0,0,0.313793103,0.437931034,0.482758621,0.489655172,0.427586207
26,-9,1,-9,-,1,12,0.5,-8,-,1,1,0,0.860344828,0.975862069,1,1,1
27,41,0.4,-4,Symm,5,42,0.4,-9,Symm,5,1,0,0.562711864,0.523728814,0.477966102,0.415254237,0.386440678
28,32,0.6,-38,-,1,14,0.2,4,L-skew,3,0,0,0.820338983,0.738983051,0.661016949,0.644067797,0.642372881
29,36,0.8,-18,Symm,5,52,0.25,21,L-skew,3,0,0,0.825210084,0.749579832,0.682352941,0.695798319,0.705882353
30,50,0.6,-8,L-skew,6,52,0.4,-12,-,1,1,0,0.286440678,0.283050847,0.215254237,0.2,0.186440678
31,-9,1,-9,-,1,71,0.2,-20,R-skew,4,0,0,0.571186441,0.53220339,0.461016949,0.428813559,0.459322034
32,28,1,28,-,1,27,0.95,-11,-,1,0,0,0.039316239,0.022222222,0.006837607,0.005128205,0.006837607
33,35,0.25,-14,Symm,3,42,0.25,-14,R-skew,3,0,0,0.922689076,0.915966387,0.880672269,0.867226891,0.855462185
34,22,0.01,16,R-skew,3,84,0.25,-9,L-skew,3,0,-1,0.264957265,0.309401709,0.326495726,0.336752137,0.305982906
35,7,1,7,-,1,18,0.99,-19,-,1,0,0,0.779487179,0.905982906,0.935042735,0.941880342,0.958974359
36,19,1,19,-,1,97,0.1,5,-,1,0,0,0.269491525,0.237288136,0.261016949,0.271186441,0.26440678
37,-3,1,-3,-,1,43,0.2,-20,-,1,0,0,0.256410256,0.215384615,0.261538462,0.252991453,0.232478632
38,-7,1,-7,-,1,-4,0.01,-5,Symm,3,0,0,0.834482759,0.939655172,0.984482759,0.987931034,0.99137931
39,2,1,2,-,1,4,0.75,-23,-,1,0,0,0.167521368,0.276923077,0.27008547,0.254700855,0.261538462
40,10,1,10,-,1,28,0.2,-1,-,1,0,0,0.137931034,0.201724138,0.205172414,0.201724138,0.206896552
41,16,1,16,-,1,15,0.8,-12,-,1,0,0,0.049152542,0.022033898,0.008474576,0,0.006779661
42,10,1,10,-,1,59,0.01,4,-,1,0,0,0.157264957,0.126495726,0.123076923,0.133333333,0.128205128
43,42,0.01,29,-,1,80,0.1,20,L-skew,2,0,0,0.494017094,0.413675214,0.357264957,0.347008547,0.321367521
44,30,1,30,-,1,64,0.01,20,-,1,1,0,0.456637168,0.350442478,0.212389381,0.130973451,0.107964602
45,10,1,10,-,1,92,0.01,9,Symm,9,0,0,0.667826087,0.615652174,0.6,0.55826087,0.556521739
46,19,0.8,4,-,1,38,0.6,-27,-,1,1,0,0.157627119,0.23220339,0.447457627,0.428813559,0.427118644
47,19,1,19,-,1,38,0.75,-33,R-skew,4,0,0,0.370689655,0.548275862,0.624137931,0.64137931,0.639655172
48,31,0.8,-4,-,1,34,0.1,16,-,1,1,1,0.682352941,0.497478992,0.396638655,0.373109244,0.352941176
49,76,0.5,-24,-,1,38,0.6,-20,L-skew,3,0,0,0.43697479,0.378151261,0.354621849,0.324369748,0.349579832
50,16,1,16,-,1,40,0.6,-15,-,1,0,0,0.373109244,0.536134454,0.556302521,0.546218487,0.556302521
51,14,1,14,-,1,14,1,14,R-skew,2,0,0,0.435294118,0.515966387,0.522689076,0.472268908,0.401680672
52,53,0.1,27,-,1,32,0.95,9,-,1,0,0,0.574358974,0.627350427,0.652991453,0.606837607,0.586324786
53,104,0.05,1,Symm,7,34,0.05,2,L-skew,2,0,0,0.461538462,0.468376068,0.466666667,0.452991453,0.439316239
54,9,1,9,-,1,55,0.1,5,-,1,1,0,0.644067797,0.53220339,0.452542373,0.416949153,0.369491525
55,36,0.05,16,L-skew,6,33,0.5,-1,-,1,0,0,0.418803419,0.492307692,0.494017094,0.492307692,0.468376068
56,92,0.2,9,-,1,26,1,26,Symm,7,0,0,0.677310924,0.714285714,0.68907563,0.650420168,0.672268908
57,22,0.9,-41,-,1,14,0.99,6,-,1,0,0,0.66779661,0.486440678,0.413559322,0.410169492,0.420338983
58,6,1,6,R-skew,4,116,0.25,-31,Symm,9,0,0,0.273333333,0.308333333,0.351666667,0.333333333,0.365
59,85,0.4,-22,L-skew,7,30,0.95,-2,-,1,0,0,0.793277311,0.768067227,0.737815126,0.71092437,0.715966387
60,25,0.2,10,-,1,102,0.05,9,Symm,3,0,0,0.638983051,0.577966102,0.493220339,0.472881356,0.484745763
